Nodes,Degree_centrality,Closeness_centrality,Betweenness_centrality
1426,0.34439834024896265,0.6040100250626567,0.0032326604589530644
1427,0.1950207468879668,0.5540229885057472,0.0017045122762627794
1428,0.34024896265560167,0.6025,0.0023673555606706655
1429,0.26556016597510373,0.5765550239234449,0.002594767511934096
1430,0.15352697095435686,0.5262008733624454,0.00034307586821177464
1431,0.2946058091286307,0.5863746958637469,0.0027002274874521706
1434,0.3900414937759336,0.6211340206185567,0.005507859990302447
1435,0.16182572614107885,0.5320088300220751,0.0005151661474144741
1437,0.3941908713692946,0.6227390180878553,0.004901823462618675
1439,0.3153526970954357,0.5935960591133005,0.002598133750419092
1441,0.13278008298755187,0.5052410901467506,0.00014342800672956097
1443,0.39834024896265563,0.6243523316062176,0.005187437252506514
1451,0.21991701244813278,0.5565819861431871,0.0015271047596564448
1452,0.31950207468879666,0.5950617283950618,0.0028603343168716474
1453,0.23651452282157676,0.5657276995305164,0.0013200207220943356
1457,0.4605809128630705,0.6495956873315364,0.0068943660122957814
1458,0.4066390041493776,0.6276041666666666,0.00667919122838685
1459,0.26141078838174275,0.5751789976133651,0.0033527145253640046
1461,0.19917012448132781,0.5527522935779816,0.0013643031488225327
1465,0.25311203319502074,0.5724465558194775,0.0017805533622056772
1468,0.34854771784232363,0.6055276381909548,0.003689864579112131
1471,0.21991701244813278,0.5565819861431871,0.0011614753275778818
1475,0.1908713692946058,0.5391498881431768,0.001488342648073766
1477,0.4066390041493776,0.6276041666666666,0.006795635829698539
1479,0.1825726141078838,0.5452488687782805,0.0010474819006589678
1480,0.3941908713692946,0.6227390180878553,0.006256881031039342
1482,0.3360995850622407,0.600997506234414,0.002881521629393578
1483,0.2033195020746888,0.5477272727272727,0.0008920689383033018
1486,0.2697095435684647,0.5751789976133651,0.002179866608978405
1489,0.3153526970954357,0.5935960591133005,0.0030330679717997873
1493,0.34439834024896265,0.6040100250626567,0.002695039666081089
1495,0.24481327800829875,0.5670588235294117,0.0022772925997264983
1498,0.43983402489626555,0.6409574468085106,0.006471003213784388
1500,0.34024896265560167,0.6025,0.0044448966670857445
1501,0.3153526970954357,0.5935960591133005,0.0023262646345697754
1502,0.3029045643153527,0.589242053789731,0.0022208038051601043
1503,0.38589211618257263,0.6195372750642674,0.006561643708387993
1504,0.13692946058091288,0.5182795698924731,0.0007256666108536853
1511,0.16182572614107885,0.5193965517241379,0.0003299329174292198
1516,0.23236514522821577,0.5604651162790698,0.0025379870169663318
1519,0.17012448132780084,0.5440180586907449,0.0011238551254095913
1520,0.2987551867219917,0.5835351089588378,0.0021516389090506225
1521,0.16597510373443983,0.5391498881431768,0.0018238131817854583
1522,0.2946058091286307,0.5863746958637469,0.0037308252371673705
1524,0.0954356846473029,0.4839357429718876,2.939560906283122e-05
